,Date,Open,High,Low,Close,Volume,year,TrendValue,Trend,Up Days,Down Days,RSI,Close Rateofchange,OBV,VWAP,Prediction Value
73,2000-04-19,1417.75,1469.05,1375.05,1404.95,38873392,2000,-9.0,Downtrend,0.0,9.0,99.45128060284493,-0.09742387254272122,546314,1529.4551249644057,0
74,2000-04-20,1405.7,1425.55,1339.75,1415.65,43869587,2000,-43.0,Downtrend,0.0,43.0,99.54283620082228,-0.10943004529441358,44415901,1521.791165573214,0
75,2000-04-24,1416.05,1431.8,1371.85,1388.0,34272187,2000,6.0,Uptrend,6.0,0.0,99.51662597401894,-0.10647611690485392,10143714,1513.231920044544,1
76,2000-04-25,1383.8,1383.8,1311.3,1359.45,40507493,2000,-48.0,Downtrend,0.0,48.0,99.6056909693715,-0.1338600235736357,-30363779,1506.549745133957,0
77,2000-04-26,1362.5,1439.05,1362.5,1436.1,45032350,2000,55.0,Uptrend,55.0,0.0,99.36740977354772,-0.081160625739787,14668571,1497.8390200882423,1
78,2000-04-27,1436.15,1455.85,1400.65,1416.9,51773632,2000,16.0,Uptrend,16.0,0.0,99.29079495843118,-0.09671044243274252,-37105061,1492.9446560165359,1
79,2000-04-28,1419.9,1438.0,1396.55,1406.55,27456437,2000,-17.0,Downtrend,0.0,17.0,99.3485110081123,-0.09735279961495269,-64561498,1485.763457169685,0
80,2000-05-02,1410.0,1421.5,1319.65,1333.45,39377730,2000,-16.0,Downtrend,0.0,16.0,99.39923824151496,-0.1394320748628589,-103939228,1480.3895138136647,0
81,2000-05-03,1330.15,1342.15,1258.1,1316.05,34709688,2000,-79.0,Downtrend,0.0,79.0,99.57732537304027,-0.13896431024894507,-138648916,1470.3121364891097,0
82,2000-05-04,1317.95,1385.15,1317.95,1380.55,29963970,2000,43.0,Uptrend,43.0,0.0,99.39597133826436,-0.1004723896400066,-108684946,1460.330355271503,1
83,2000-05-05,1381.9,1428.6,1381.9,1422.4,35555435,2000,43.0,Uptrend,43.0,0.0,99.195527405091,-0.003991317134654282,-73129511,1452.6527210061593,1
84,2000-05-08,1423.25,1436.6,1358.8,1365.05,23965671,2000,8.0,Uptrend,8.0,0.0,99.15431004796355,-0.04851357473948359,-97095182,1452.6026007852715,1
85,2000-05-09,1362.45,1385.7,1328.05,1378.55,24898689,2000,-50.0,Downtrend,0.0,50.0,99.3395184999758,-0.05120616676416956,-72196493,1451.0350220863706,0
86,2000-05-10,1380.4,1391.35,1359.65,1363.15,22179474,2000,5.0,Uptrend,5.0,0.0,99.31502328161868,-0.12458658446520887,-94375967,1448.5468560324882,1
87,2000-05-11,1359.1,1359.1,1295.95,1304.55,23828870,2000,-32.0,Downtrend,0.0,32.0,99.41470540425924,-0.1912275263484191,-118204837,1438.586170950579,0
88,2000-05-12,1305.3,1326.3,1276.4,1282.8,23382546,2000,-32.0,Downtrend,0.0,32.0,99.49543256762261,-0.21041455082633187,-141587383,1416.6319632009634,0
89,2000-05-15,1281.3,1311.7,1220.7,1299.25,21763805,2000,-14.0,Downtrend,0.0,14.0,99.5268584102357,-0.18424687637345394,-119823578,1401.1926742098565,0
90,2000-05-16,1300.2,1310.45,1287.8,1306.85,17410579,2000,-1.0,Downtrend,0.0,1.0,99.52917015388766,-0.13946597306818564,-102412999,1387.586394872759,0
91,2000-05-17,1310.8,1347.7,1303.75,1311.65,25382671,2000,37.0,Uptrend,37.0,0.0,99.3250465113935,-0.09137196494752509,-77030328,1381.2572616805405,1
92,2000-05-18,1311.3,1316.2,1289.55,1293.4,23235814,2000,-31.0,Downtrend,0.0,31.0,99.43075729676039,-0.08580718122702846,-100266142,1373.778328624192,0
93,2000-05-19,1293.45,1293.45,1252.7,1268.0,27403349,2000,-22.0,Downtrend,0.0,22.0,99.4927612877344,-0.09747677853304393,-127669491,1368.836717070422,0
94,2000-05-22,1267.85,1267.85,1228.4,1233.0,18684174,2000,-25.0,Downtrend,0.0,25.0,99.55353942186925,-0.12902200402641906,-146353665,1362.0715991113964,0
95,2000-05-23,1229.25,1230.9,1203.2,1224.4,21794331,2000,-36.0,Downtrend,0.0,36.0,99.62462060781023,-0.1178674351585014,-168147996,1354.0110321542695,0
96,2000-05-24,1224.5,1246.25,1201.5,1235.9,30854002,2000,15.0,Uptrend,15.0,0.0,99.54962011905236,-0.09088234212365287,-137293994,1347.1121635387465,1
